State,Truck Stop Name,Highway Route,Exit,Address
CO,JR'S COUNTRY STORE,US-50,,"1115 N MAIN ST LAMAR, CO 81052"
CO,MONTROSE TRAVEL CENTER,US-50,,"1440 N TOWNSEND AVE MONTROSE, CO 81401"
CO,LOVE'S TRAVEL STOP #23,US-50,Exit LAMAR,"605 N MAIN ST LAMAR, CO 81052"
CO,PILOT TRAVEL CENTER #1052,US-50,,"708 N MAIN ST LAMAR, CO 81052"
CO,PORTS TO PLAINS TRAVEL PLAZA,US-50,,"33110 CO RD 7 LAMAR, CO 81052"
CO,AGFINITY,US-85,,"55 S OAK AVE EATON, CO 80615"
CO,QUICKTRIP,US-85,,"665 31ST ST. EVANS, CO 80620"
CO,CENEX C-STORE,US-160,,"1901 US 160 MONTE VISTA, CO 81144"
CO,LOAF 'N JUG,US-160,,"6988 CO 17 ALAMOSA, CO 81101"
CO,UTE MOUNTAIN TRAVEL CENTER,US-160,,"1 E MIKE WASH RD TOWAOC, CO 81334"
CO,LOVE'S TRAVEL STOP #850,US-160,Exit RD,"7006 HWY 160/491 CORTEZ, CO 81321"
CO,D & S C-STORE,US-285,,"640 US 285 FAIRPLAY, CO 80440"
CO,GUNSMOKE TRAVEL PLAZA,US-285,,"12916 US 24/285 BUENA VISTA, CO 81211"
CO,CLARENCE'S TRUCK STOP,US-287,,"7116 US 287 CAMPO, CO 81029"
CO,LOVE'S TRAVEL STOP #653,US-287,,"15596 US 287 EADS, CO 81036"
CO,WILEY C-STORE,US-287,,"36020 US 287 WILEY, CO 81092"
CO,SPRINGFIELD TRUCK STOP,US-287,,"27080 US 287 SPRINGFIELD, CO 81073"
CO,EAGLE TRAVEL STOP,US-385,,"233 N DEXTER ST WRAY, CO 80758"
CO,KUM -N- GO,CO-13,Exit CO,"39065 CO 13 MEEKER, CO 81641"
CO,ALTA CONVENIENCE STORE #3113,CO-45,,"723 S PUEBLO BLVD PUEBLO, CO 81004"
CO,JR'S COUNTRY STORE,CO-71,Exit CO,"18055 CO RD G ORDWAY, CO 81063"
